TrainingSlot,ValidationSlot,Sensor,Min,Max,Std,Avg,
1,26,TV,24739,42804,"3,724.41","33,383.42",
1,25,RV,24504,53512,"5,025.74","33,421.69",
13,4,RV,24146,43859,"3,449.36","33,429.44",
26,13,LV,24204,41345,"3,789.35","33,457.82",
28,4,LI,16268,45912,"5,885.24","33,467.46",
14,27,TV,24304,41274,"2,842.42","33,470.87",
14,37,RI,17988,51855,"6,158.58","33,483.80",
25,37,RV,22171,63423,"7,913.53","33,510.23",
25,16,BV,19259,73271,"7,955.62","33,524.49",
25,37,LI,17958,53631,"7,551.64","33,536.42",
13,27,TI,20084,47217,"5,368.79","33,549.78",
4,15,BV,16768,59588,"7,877.34","33,550.94",
40,27,TI,22001,48279,"5,249.78","33,555.57",
1,40,TI,20286,45693,"4,989.19","33,582.49",
3,39,BI,19852,44446,"4,331.16","33,592.13",
15,25,TI,21038,48083,"6,155.97","33,603.29",
25,37,LV,23669,49378,"3,763.70","33,613.76",
13,38,TV,28269,42296,"2,311.55","33,619.96",
40,1,LI,17891,48721,"6,253.23","33,637.76",
15,1,BI,22916,45981,"4,019.93","33,639.05",
27,38,BI,21408,44103,"4,260.66","33,668.56",
25,14,RI,22742,46121,"5,217.80","33,672.71",
39,2,LV,24660,40220,"2,643.55","33,680.22",
25,14,LI,20946,51787,"6,165.31","33,694.47",
40,25,RV,26452,42225,"3,211.62","33,729.47",
16,25,BI,24535,45045,"4,182.98","33,743.71",
25,16,LI,18421,49119,"5,378.21","33,781.51",
15,25,RI,24193,47595,"4,709.45","33,787.46",
37,3,RV,27483,39994,"2,390.11","33,798.66",
13,28,RV,23199,47103,"3,789.79","33,818.34",
28,38,BV,25997,43195,"2,882.16","33,839.88",
37,13,TI,18278,52543,"7,254.77","33,873.88",
26,13,RV,29370,40412,"2,154.94","33,876.47",
1,28,TI,23138,42581,"3,798.51","33,903.82",
27,16,BV,18944,81463,"7,395.14","33,918.18",
13,39,TI,18476,56010,"7,674.61","33,932.53",
1,38,TI,21286,49786,"5,124.99","33,934.40",
16,25,TI,23740,47019,"5,443.54","33,940.05",
28,40,BI,24023,43663,"3,879.23","33,968.81",
28,40,BV,27123,41760,"2,480.96","33,984.57",
28,15,TI,19830,46158,"5,208.97","34,080.06",
26,15,LV,25000,42787,"3,754.03","34,088.80",
40,3,LI,20095,47007,"6,218.58","34,107.27",
40,27,LI,20076,52007,"6,842.82","34,113.39",
16,39,TI,16897,52855,"8,158.03","34,157.55",
25,2,TI,20186,53490,"6,988.56","34,165.29",
25,37,TV,28283,42132,"2,544.44","34,175.43",
25,1,RV,28180,41885,"2,199.25","34,191.62",
15,27,BI,21771,44428,"4,313.14","34,199.22",
25,15,BV,17418,54614,"7,354.09","34,215.74",
14,26,BI,21480,46348,"5,007.45","34,240.29",
39,26,RI,21685,44715,"4,757.40","34,251.94",
16,26,RI,24979,47449,"3,802.17","34,285.58",
26,15,BI,20804,47069,"5,012.94","34,291.84",
1,37,LI,19600,53807,"6,710.72","34,294.91",
27,2,LI,16661,60846,"8,079.29","34,298.81",
25,13,TI,19964,47663,"5,151.60","34,310.38",
39,3,LI,20309,53573,"7,716.20","34,343.75",
39,13,RV,29014,39741,"1,992.43","34,345.16",
2,15,RV,27953,40836,"2,243.07","34,357.09",
40,14,TV,25839,73511,"5,740.10","34,367.79",
37,1,BI,23303,51480,"5,187.43","34,368.00",
16,27,TI,21056,47650,"4,683.73","34,371.58",
38,13,TV,25104,46811,"3,534.84","34,381.00",
37,14,RV,27889,42918,"2,521.21","34,389.42",
1,38,BI,22375,45915,"5,466.27","34,392.78",
3,14,RI,21013,45925,"5,476.15","34,395.07",
16,27,LI,19800,47818,"5,446.17","34,444.03",
16,3,LI,20986,51726,"6,040.05","34,498.60",
25,16,RV,24952,41628,"3,197.35","34,515.65",
15,4,RV,25016,41885,"3,050.28","34,553.90",
39,1,RI,22149,53468,"5,854.38","34,559.32",
16,3,TI,22133,50753,"6,310.80","34,591.20",
38,16,BI,22391,49409,"4,046.91","34,606.05",
15,3,RV,27371,41683,"3,166.92","34,650.13",
15,27,TI,20391,47881,"5,464.02","34,657.18",
27,14,RV,27638,42832,"3,042.55","34,676.88",
25,39,LV,25912,82574,"6,331.67","34,692.73",
40,13,BV,21892,60628,"7,105.63","34,694.75",
13,27,BI,22025,44365,"3,507.33","34,716.18",
28,38,TV,27949,45379,"3,343.69","34,735.07",
4,26,LI,19975,50125,"6,368.49","34,739.18",
25,14,RV,25645,42036,"3,100.11","34,742.27",
14,4,RV,25096,41543,"3,420.11","34,746.83",
27,14,RI,19518,46149,"5,098.87","34,773.78",
2,37,RV,23204,66315,"10,132.60","34,774.33",
39,1,BI,24141,50610,"5,382.50","34,785.29",
1,39,LI,18048,51313,"7,112.92","34,791.92",
40,13,RV,27618,42543,"2,601.76","34,832.73",
3,13,TI,20801,48830,"6,476.91","34,838.73",
27,1,RV,29231,43616,"2,707.25","34,841.79",
40,2,BI,23069,43204,"3,677.76","34,889.78",
15,2,RI,20394,50801,"6,328.94","34,906.98",
28,38,TI,24567,50315,"4,839.85","34,913.05",
15,25,BI,24493,45167,"4,756.52","34,941.10",
40,25,TI,22716,48907,"5,692.50","34,943.85",
27,15,BV,19779,52260,"7,124.79","34,947.43",
14,26,LI,22515,56495,"6,363.59","34,977.42",
3,14,TV,24498,77505,"5,279.79","34,978.12",
26,37,RV,22106,63526,"8,646.02","34,985.51",
25,38,RV,20997,71139,"8,137.31","35,098.77",
14,40,RI,28707,49195,"3,089.62","35,100.93",
39,26,BI,16820,47597,"5,592.56","35,117.72",
26,37,RI,20804,47170,"6,970.18","35,118.65",
38,27,LV,22425,50371,"5,337.25","35,155.40",
14,37,RV,21750,62070,"9,252.50","35,223.69",
13,3,LI,21060,47844,"5,796.83","35,250.55",
26,39,RI,21326,47304,"5,866.04","35,262.94",
13,2,BI,19965,52128,"5,602.00","35,270.88",
16,39,LI,17790,53265,"7,977.33","35,284.07",
37,27,TI,24111,54453,"5,806.01","35,285.06",
13,27,RI,22520,49057,"4,340.57","35,291.81",
4,16,RI,22822,46445,"4,365.90","35,295.36",
37,1,RV,30163,44645,"2,894.05","35,314.53",
40,4,TI,23273,55828,"5,057.28","35,368.66",
2,28,TV,27039,42670,"2,881.99","35,406.96",
15,25,RV,26692,47490,"3,648.07","35,409.88",
38,28,TV,27704,45384,"3,391.43","35,410.83",
28,1,RV,30293,40891,"2,024.13","35,450.96",
16,26,BI,23969,49191,"4,845.22","35,475.07",
40,28,RV,26088,42625,"3,077.94","35,548.85",
40,2,RI,25254,42846,"3,324.03","35,549.33",
3,1,LV,25245,44927,"4,395.33","35,560.32",
28,39,BV,26006,46520,"3,024.64","35,563.49",
26,14,TI,16501,55649,"6,765.27","35,563.98",
26,15,TV,26378,57487,"4,825.24","35,593.22",
1,26,TI,21402,62788,"7,274.39","35,600.02",
3,28,TV,26684,43894,"3,215.04","35,620.29",
13,25,TI,20080,51654,"7,223.91","35,641.29",
4,2,LV,20920,52858,"4,771.81","35,644.56",
39,25,LV,25941,49637,"4,919.25","35,655.26",
14,28,LI,18177,46471,"4,887.02","35,677.33",
4,14,LI,22885,57430,"6,707.48","35,690.96",
3,37,LI,18487,55574,"7,944.57","35,724.66",
25,38,LV,23985,45879,"3,922.02","35,725.91",
38,4,LI,20998,44828,"5,214.56","35,737.16",
39,1,RV,30343,42499,"2,024.46","35,741.59",
14,2,RV,30779,43689,"2,285.02","35,772.51",
38,15,LV,25847,43375,"3,704.40","35,792.73",
26,16,LV,26175,45279,"4,007.65","35,795.86",
2,13,LV,25693,44911,"4,294.07","35,796.74",
3,15,TI,19366,51874,"6,718.65","35,804.81",
26,13,BI,23129,53209,"6,463.10","35,837.44",
25,39,TV,29589,42387,"2,469.04","35,839.15",
2,16,RV,26695,44312,"3,049.65","35,852.76",
40,4,RV,27439,44553,"3,169.58","35,863.51",
27,13,RV,27174,44300,"2,772.03","35,922.16",
26,14,BI,18461,51951,"6,124.39","35,949.53",
40,25,TV,29013,45773,"2,888.10","35,977.26",
2,40,BI,25863,46834,"4,448.91","35,985.49",
26,3,LV,29744,44457,"2,951.95","36,005.42",
15,2,BI,20905,47822,"6,141.53","36,028.02",
39,2,BI,18783,50915,"7,322.91","36,060.53",
37,3,RI,24103,45502,"4,512.67","36,128.86",
40,16,BV,19627,94156,"10,915.40","36,163.40",
13,2,RV,29546,43598,"2,424.11","36,199.25",
13,25,BI,26803,49598,"4,551.30","36,235.51",
25,4,LI,20597,47048,"4,455.53","36,260.03",
27,13,TI,20962,53006,"6,383.43","36,272.91",
28,1,TV,24413,51705,"4,548.69","36,272.96",
37,1,RI,27436,56708,"4,542.15","36,309.07",
4,14,TI,23728,53726,"5,732.54","36,379.86",
15,39,TI,19649,53310,"7,692.57","36,384.55",
16,1,LI,21308,48136,"5,723.81","36,399.66",
27,37,RI,23369,49637,"5,858.72","36,401.27",
2,39,RI,23006,47546,"5,402.42","36,427.57",
2,38,RV,22041,92352,"11,417.19","36,458.58",
14,38,RV,20915,83468,"8,953.90","36,464.24",
15,4,TV,24464,48884,"4,816.94","36,468.85",
28,13,BI,26392,49551,"5,826.24","36,490.24",
26,38,RV,21961,77317,"7,721.50","36,510.58",
2,14,RV,26772,43429,"3,197.63","36,522.67",
37,26,RI,22316,53713,"6,160.05","36,524.21",
25,16,LV,24139,46973,"3,963.98","36,554.80",
1,27,TV,15567,45228,"3,045.93","36,584.86",
26,13,TV,25812,48071,"3,829.97","36,600.35",
25,2,RI,21078,55414,"6,666.84","36,616.36",
27,14,LV,25504,50377,"5,085.92","36,617.96",
15,1,TI,18431,59019,"8,029.76","36,633.88",
26,14,LV,25474,46879,"4,955.51","36,635.43",
14,2,LI,19029,54290,"5,979.07","36,640.77",
14,28,TI,23723,48629,"5,009.34","36,665.79",
39,3,RI,24926,56058,"6,303.76","36,671.69",
13,27,TV,28066,44370,"3,223.21","36,698.99",
27,4,LI,18989,50790,"5,942.47","36,703.92",
26,38,LI,16505,51409,"6,696.82","36,822.18",
28,2,TV,27277,50439,"4,445.35","36,824.54",
27,37,RV,22979,77037,"10,570.17","36,844.22",
40,13,LV,28262,46932,"3,802.73","36,866.89",
15,26,RI,19726,50354,"6,377.89","36,870.98",
25,13,RV,28840,43114,"3,074.32","36,895.26",
39,25,LI,18210,62049,"8,568.28","36,905.01",
27,16,RI,18470,50490,"5,529.31","36,924.07",
2,37,RI,22446,52086,"6,681.66","36,929.54",
25,13,LV,26863,46901,"3,842.46","36,940.22",
37,25,BI,22442,52595,"5,837.48","36,942.85",
38,16,LV,26284,47016,"4,174.16","36,963.51",
40,15,TV,24306,82885,"7,662.81","36,979.13",
37,15,TI,20746,55615,"7,607.31","36,983.22",
26,39,LV,22615,68010,"6,310.98","37,014.91",
39,25,TV,30682,43289,"2,893.86","37,028.51",
27,38,TV,28617,52654,"4,229.72","37,039.95",
39,26,LV,27439,51512,"4,717.30","37,070.44",
40,14,BV,22273,60962,"8,507.67","37,089.14",
38,26,TI,26314,54221,"5,241.26","37,093.04",
40,25,LV,26962,56054,"5,489.77","37,111.78",
13,3,RI,21711,80710,"6,723.18","37,135.36",
3,39,LI,21151,59122,"8,279.18","37,155.46",
25,1,TV,30087,55652,"3,815.03","37,172.54",
13,27,LI,19223,59559,"7,134.77","37,176.64",
4,13,BI,23285,52664,"7,162.69","37,216.54",
1,26,LI,19758,67149,"9,638.85","37,252.35",
37,26,BI,20249,52134,"6,064.02","37,254.96",
25,38,TV,31490,49233,"3,239.83","37,271.63",
39,15,LI,18180,55167,"8,996.72","37,277.34",
27,2,TI,19846,54941,"7,193.90","37,303.39",
4,28,TV,26685,45418,"3,629.08","37,306.25",
25,40,TV,30455,44962,"2,663.39","37,317.08",
40,14,LI,19250,63529,"9,049.70","37,338.18",
38,28,TI,25407,48549,"4,125.84","37,344.81",
27,15,TI,20480,54343,"6,995.83","37,351.02",
38,1,RV,30487,45182,"3,102.93","37,357.16",
26,40,LI,24898,47961,"4,539.06","37,422.21",
2,14,TI,20763,54242,"6,343.49","37,425.38",
28,15,RV,31072,44740,"2,494.36","37,602.28",
26,37,LV,25762,49511,"4,572.99","37,611.03",
3,26,TI,18708,61275,"7,898.36","37,669.10",
25,4,TI,15228,58513,"9,078.06","37,687.05",
37,4,TI,20358,54901,"5,539.70","37,692.93",
3,13,BI,24469,54172,"5,608.44","37,694.49",
13,25,RI,25989,49261,"5,216.11","37,702.24",
37,2,BI,23916,48068,"4,905.71","37,721.56",
26,4,TV,28166,54138,"5,009.90","37,747.49",
15,28,RV,25255,50272,"4,372.87","37,750.63",
40,14,LV,28514,48293,"3,993.44","37,791.84",
27,2,LV,28505,54166,"4,487.10","37,803.85",
40,26,BV,28521,47260,"3,583.15","37,817.22",
40,27,LV,27004,59275,"6,620.46","37,825.69",
27,39,TV,29239,46507,"2,755.23","37,900.47",
13,25,LI,19636,64012,"8,677.39","37,902.85",
28,15,BI,24352,49586,"5,392.38","37,918.74",
37,13,RV,29358,45795,"3,108.83","37,938.60",
25,15,LV,26451,48478,"4,101.41","37,983.02",
2,13,BI,23513,53251,"6,967.72","38,038.84",
3,38,BI,19414,50990,"6,716.74","38,047.94",
4,16,LI,19629,56285,"7,159.20","38,083.19",
27,4,TI,18646,53322,"7,283.80","38,096.62",
40,1,LV,30926,45961,"2,983.34","38,096.71",
39,15,LV,27828,48012,"4,166.23","38,100.59",
25,2,LI,18501,57040,"7,876.73","38,106.24",
27,37,LI,21719,62604,"8,034.23","38,194.77",
28,38,LI,21689,57184,"6,744.85","38,211.43",
40,25,BV,30987,48159,"2,839.17","38,230.10",
16,40,TI,20881,56575,"7,147.54","38,234.23",
14,40,RV,21582,73888,"11,790.86","38,241.09",
40,28,BV,27799,47133,"2,937.81","38,246.04",
3,40,TI,21782,59182,"7,333.25","38,266.47",
15,25,LI,19897,78415,"10,360.91","38,272.68",
2,15,LV,29627,49175,"4,203.98","38,279.93",
40,26,TV,30442,50047,"3,341.29","38,289.47",
1,26,BI,22678,58877,"7,631.89","38,296.98",
1,28,RV,24023,56966,"6,699.62","38,301.31",
3,28,TI,18416,54067,"6,138.59","38,360.75",
14,38,LI,20193,56186,"6,464.02","38,360.95",
13,1,LI,23371,50515,"5,124.26","38,390.10",
25,40,RV,20838,75189,"11,292.88","38,404.07",
13,37,RV,25246,82641,"10,741.85","38,513.71",
26,14,TV,26372,56317,"4,175.29","38,515.80",
15,37,LI,19730,59710,"8,160.50","38,515.95",
14,4,LI,26315,46732,"4,086.65","38,584.27",
15,37,RV,22798,81500,"10,964.64","38,599.94",
28,3,TV,25963,60402,"5,136.17","38,611.94",
16,37,RI,25741,51256,"6,225.11","38,625.94",
40,28,RI,27391,48590,"4,551.61","38,632.97",
13,37,LI,20777,60056,"10,075.02","38,651.92",
40,3,RV,31985,45624,"2,116.20","38,662.55",
40,27,BV,29633,54989,"3,570.29","38,713.92",
37,13,LV,30610,49128,"3,429.31","38,758.40",
1,4,LV,19948,53793,"6,873.02","38,798.16",
37,25,TV,30766,47047,"3,532.50","38,807.63",
15,2,RV,31788,48025,"2,678.13","38,830.12",
3,15,TV,25498,75827,"7,709.54","38,835.49",
14,28,BI,28654,45246,"2,988.53","38,844.77",
25,3,TV,26730,61144,"5,888.98","38,850.02",
39,16,LV,28639,44740,"3,104.56","38,869.92",
40,13,BI,27033,52531,"5,492.23","38,892.98",
25,40,LV,26179,53659,"5,179.39","38,896.78",
3,37,RI,22821,57011,"7,753.78","38,908.40",
25,14,LV,25675,50567,"4,955.62","38,915.75",
27,40,TV,33242,50179,"2,766.02","38,952.32",
26,38,LV,25513,52272,"5,559.55","38,978.98",
38,14,TV,28066,64307,"4,712.03","38,982.16",
38,4,RI,26531,48031,"5,091.11","39,012.05",
2,15,BI,22067,53251,"7,234.92","39,033.54",
37,14,LI,18675,60689,"9,186.37","39,077.31",
4,40,BI,25434,49918,"4,266.25","39,086.28",
40,16,LI,20249,55539,"7,308.31","39,125.00",
25,38,TI,22255,58929,"7,519.57","39,132.05",
39,3,LV,28923,50227,"4,809.27","39,141.22",
25,39,RV,20311,85725,"11,847.89","39,143.51",
27,38,TI,22823,54369,"6,127.80","39,183.44",
3,38,TI,23541,69084,"8,759.99","39,224.04",
25,37,RI,24597,58112,"8,076.07","39,265.36",
28,15,LV,25284,52199,"5,882.99","39,280.93",
26,4,LV,29478,46789,"3,644.24","39,302.51",
27,39,LI,21030,62181,"8,653.59","39,323.21",
14,28,TV,27633,48654,"3,954.62","39,354.13",
3,15,RV,32718,46360,"2,599.37","39,354.81",
16,4,BI,25130,53352,"5,160.29","39,466.31",
1,37,RV,26312,76150,"10,310.01","39,507.25",
27,13,BI,24974,55184,"6,329.75","39,510.50",
37,14,LV,31098,49034,"3,375.46","39,512.22",
4,15,BI,19810,51154,"6,521.74","39,513.91",
27,14,LI,23470,64432,"7,877.66","39,528.40",
26,40,RV,22885,74516,"10,363.66","39,544.66",
15,38,RV,21000,88464,"10,735.32","39,579.92",
13,39,TV,25746,45504,"3,086.70","39,580.81",
4,16,TI,26699,66990,"5,401.65","39,586.34",
39,27,LI,22197,66582,"9,875.11","39,594.26",
39,13,TI,25803,57875,"6,973.61","39,618.14",
13,38,RV,23611,95037,"10,629.00","39,634.62",
38,3,TV,22590,60398,"6,610.79","39,653.19",
37,25,TI,20484,59769,"7,435.92","39,660.24",
15,37,RI,22128,60702,"7,956.78","39,670.96",
38,15,TV,28091,64171,"6,335.83","39,681.98",
40,2,LV,31674,47880,"2,665.36","39,697.85",
40,2,RV,29418,50082,"3,219.19","39,705.88",
28,40,TI,22189,66521,"7,191.11","39,735.62",
4,27,RV,15073,50409,"4,104.64","39,749.93",
26,16,TI,23916,68348,"6,053.48","39,786.49",
1,14,LI,19746,67026,"9,586.39","39,812.43",
39,13,TV,27617,62006,"4,656.76","39,833.74",
28,16,RI,23795,52514,"4,869.53","39,914.05",
25,15,TV,28240,75261,"5,982.53","39,928.17",
4,25,RV,30362,55154,"5,082.00","39,944.33",
37,25,LV,24530,58286,"6,009.44","39,949.81",
3,26,LI,22871,60452,"8,426.73","39,962.79",
16,13,LV,28854,52647,"5,041.78","40,000.51",
2,13,RV,31612,50182,"3,044.26","40,007.07",
4,26,RV,28594,61463,"5,851.26","40,008.34",
15,3,TI,20408,63628,"9,980.06","40,091.71",
28,14,RV,32453,47776,"3,205.54","40,115.79",
27,38,RV,21630,82131,"10,037.55","40,126.83",
27,15,LV,27527,51000,"5,228.98","40,154.76",
37,13,TV,31780,54803,"3,898.75","40,223.82",
25,2,TV,31636,55807,"4,533.23","40,277.97",
25,4,RI,28284,48119,"3,791.97","40,320.21",
16,4,RI,25008,49140,"4,580.33","40,337.89",
27,16,LI,26030,54352,"5,819.01","40,349.87",
40,26,LV,29351,50497,"4,187.04","40,379.76",
3,2,LV,23537,52866,"5,207.44","40,444.19",
13,1,RV,33357,46549,"2,632.81","40,455.11",
16,38,TI,19851,65060,"9,953.21","40,475.76",
37,1,LV,31794,50785,"3,591.20","40,478.87",
40,15,BV,22144,72581,"9,881.44","40,482.13",
26,38,RI,19167,58819,"7,924.37","40,504.53",
28,37,RI,24816,60374,"8,695.92","40,539.49",
16,28,LI,28075,58267,"5,328.53","40,594.03",
4,37,RI,24574,55497,"6,702.26","40,597.26",
13,28,TV,30684,47118,"3,132.28","40,657.12",
40,1,TV,29827,59394,"4,625.02","40,687.65",
28,16,RV,29751,51019,"3,800.35","40,693.55",
26,39,RV,22385,77747,"11,216.24","40,713.18",
40,14,TI,20982,65096,"8,813.26","40,763.86",
13,2,RI,25284,61082,"6,609.72","40,774.04",
28,14,BI,25532,60337,"6,589.76","40,817.79",
28,16,LV,26659,51823,"5,997.46","40,862.86",
15,4,RI,26325,63652,"7,920.15","40,880.43",
13,40,TI,22544,62659,"8,228.06","40,932.64",
27,16,LV,28352,52294,"4,930.76","40,965.11",
2,16,LV,30773,47567,"3,363.72","40,971.94",
13,26,BI,28643,58162,"5,089.98","40,975.46",
14,1,RV,32912,48866,"3,021.00","40,987.38",
2,38,RI,24415,59079,"7,031.73","41,012.09",
14,40,LI,24715,55580,"5,084.06","41,039.47",
1,13,BI,26794,57298,"6,804.70","41,077.01",
3,28,LI,22245,55848,"6,799.42","41,090.79",
2,14,LV,30610,54570,"5,011.31","41,139.19",
40,28,BI,23466,55352,"5,287.83","41,249.59",
13,1,RI,25255,59514,"6,461.58","41,266.54",
4,13,LV,32422,50959,"4,151.92","41,273.04",
39,1,TI,20260,85672,"11,190.17","41,276.61",
28,37,RV,25043,84492,"11,874.44","41,297.22",
27,3,LV,34114,48869,"3,297.96","41,319.18",
2,38,LI,19383,60067,"7,918.69","41,359.61",
38,14,TI,21019,68598,"8,366.48","41,363.45",
37,2,RI,21551,57260,"5,687.31","41,452.45",
16,2,TI,27142,60793,"7,189.11","41,470.33",
39,27,LV,26862,64785,"6,044.36","41,496.65",
16,39,RI,23279,55480,"6,537.83","41,548.26",
15,1,LI,21943,56178,"6,266.29","41,556.25",
38,28,LV,21676,57426,"7,399.33","41,652.79",
1,28,BI,31553,50607,"3,714.58","41,655.79",
38,16,TI,25862,75035,"5,774.43","41,659.86",
27,40,BI,22390,60565,"7,112.85","41,687.89",
39,27,TI,25861,64306,"7,386.71","41,688.12",
40,14,BI,27226,55358,"6,160.25","41,688.85",
15,4,BI,25539,62374,"7,246.65","41,710.25",
3,37,RV,26637,77703,"11,269.56","41,802.31",
3,13,LV,33274,53113,"3,335.60","41,810.27",
40,15,BI,22904,55157,"6,985.25","41,821.00",
39,2,RI,21952,61915,"6,380.89","41,823.01",
40,16,TV,29061,55225,"5,940.72","41,835.44",
40,26,TI,28154,59207,"5,783.63","41,850.28",
16,14,LV,28449,56108,"5,910.72","41,869.12",
39,26,TV,32082,50379,"3,637.87","41,926.30",
39,4,LV,30459,52565,"3,912.51","41,933.25",
37,13,BI,21944,69428,"11,755.01","41,988.87",
